Time,Protocol,Node,Energy,Active,Packets_Sent,Packets_Received,Alarms_Sent
5,DSR,Node A,100.0,True,0,0,8
5,DSR,Node B,99.8,True,1,0,8
5,DSR,Node C,100.0,True,0,0,8
5,DSR,Node D,99.8,True,1,0,8
5,DSR,Node E,100.0,True,0,0,8
5,DSR,Node F,100.0,True,0,0,8
5,DSR,Node G,100.0,True,0,0,8
5,DSR,Node H,100.0,True,0,0,8
5,DSR,Node I,100.0,True,0,0,8
5,DSR,Node J,99.8,True,1,0,8
5,DSR,Node K,100.0,True,0,0,8
5,DSR,Node L,100.0,True,0,0,8
5,DSR,Node M,100.0,True,0,0,8
5,DSR,Node N,99.8,True,1,0,8
5,DSR,Node O,100.0,True,0,0,8
5,DSR,Node P,100.0,True,0,0,8
5,DSR,Node Q,100.0,True,0,0,8
5,DSR,Node R,100.0,True,0,0,8
5,DSR,Node S,100.0,True,0,0,8
5,DSR,Node T,100.0,True,0,0,8
5,DSR,BS,100.0,True,0,0,8
5,SFA,Node A,100.0,True,0,0,8
5,SFA,Node B,100.0,True,0,0,8
5,SFA,Node C,100.0,True,0,0,8
5,SFA,Node D,100.0,True,0,0,8
5,SFA,Node E,100.0,True,0,0,8
5,SFA,Node F,100.0,True,0,0,8
5,SFA,Node G,100.0,True,0,0,8
5,SFA,Node H,100.0,True,0,0,8
5,SFA,Node I,99.8,True,1,0,8
5,SFA,Node J,99.19999999999999,True,2,2,8
5,SFA,Node K,100.0,True,0,0,8
5,SFA,Node L,99.8,True,1,0,8
5,SFA,Node M,99.8,True,1,0,8
5,SFA,Node N,100.0,True,0,0,8
5,SFA,Node O,100.0,True,0,0,8
5,SFA,Node P,99.6,True,2,0,8
5,SFA,Node Q,100.0,True,0,0,8
5,SFA,Node R,100.0,True,0,0,8
5,SFA,Node S,100.0,True,0,0,8
5,SFA,Node T,100.0,True,0,0,8
5,SFA,BS,100.0,True,0,0,8
10,DSR,Node A,99.19999999999999,True,2,2,18
10,DSR,Node B,98.59999999999998,True,4,3,18
10,DSR,Node C,98.39999999999998,True,4,4,18
10,DSR,Node D,97.59999999999997,True,8,4,18
10,DSR,Node E,99.39999999999999,True,2,1,18
10,DSR,Node F,99.19999999999999,True,1,3,18
10,DSR,Node G,98.39999999999998,True,4,4,18
10,DSR,Node H,96.79999999999995,True,10,6,18
10,DSR,Node I,98.99999999999999,True,2,3,18
10,DSR,Node J,98.39999999999998,True,4,4,18
10,DSR,Node K,98.59999999999998,True,4,3,18
10,DSR,Node L,96.99999999999996,True,13,2,18
10,DSR,Node M,97.79999999999997,True,6,5,18
10,DSR,Node N,98.79999999999998,True,3,3,18
10,DSR,Node O,98.99999999999999,True,4,1,18
10,DSR,Node P,97.59999999999997,True,6,6,18
10,DSR,Node Q,97.99999999999997,True,6,4,18
10,DSR,Node R,98.19999999999997,True,5,4,18
10,DSR,Node S,97.79999999999997,True,7,4,18
10,DSR,Node T,96.79999999999995,True,11,5,18
10,DSR,BS,100.0,True,0,0,18
10,SFA,Node A,99.8,True,1,0,18
10,SFA,Node B,99.8,True,1,0,18
10,SFA,Node C,100.0,True,0,0,18
10,SFA,Node D,100.0,True,0,0,18
10,SFA,Node E,100.0,True,0,0,18
10,SFA,Node F,100.0,True,0,0,18
10,SFA,Node G,99.8,True,1,0,18
10,SFA,Node H,100.0,True,0,0,18
10,SFA,Node I,99.8,True,1,0,18
10,SFA,Node J,98.79999999999998,True,3,3,18
10,SFA,Node K,100.0,True,0,0,18
10,SFA,Node L,98.79999999999998,True,3,3,18
10,SFA,Node M,99.39999999999999,True,2,1,18
10,SFA,Node N,99.19999999999999,True,2,2,18
10,SFA,Node O,100.0,True,0,0,18
10,SFA,Node P,99.6,True,2,0,18
10,SFA,Node Q,99.6,True,2,0,18
10,SFA,Node R,100.0,True,0,0,18
10,SFA,Node S,100.0,True,0,0,18
10,SFA,Node T,99.39999999999999,True,2,1,18
10,SFA,BS,100.0,True,0,0,18
15,DSR,Node A,98.59999999999998,True,3,4,28
15,DSR,Node B,97.39999999999996,True,7,6,28
15,DSR,Node C,96.99999999999996,True,7,8,28
15,DSR,Node D,94.99999999999993,True,14,11,28
15,DSR,Node E,98.19999999999997,True,4,5,28
15,DSR,Node F,97.59999999999997,True,5,7,28
15,DSR,Node G,95.79999999999994,True,13,8,28
15,DSR,Node H,96.39999999999995,True,10,8,28
15,DSR,Node I,97.99999999999997,True,4,6,28
15,DSR,Node J,96.59999999999995,True,9,8,28
15,DSR,Node K,98.59999999999998,True,4,3,28
15,DSR,Node L,93.79999999999991,True,27,4,28
15,DSR,Node M,95.39999999999993,True,13,10,28
15,DSR,Node N,98.19999999999997,True,5,4,28
15,DSR,Node O,97.39999999999996,True,7,6,28
15,DSR,Node P,95.19999999999993,True,12,12,28
15,DSR,Node Q,96.59999999999995,True,7,10,28
15,DSR,Node R,95.99999999999994,True,11,9,28
15,DSR,Node S,96.39999999999995,True,10,8,28
15,DSR,Node T,96.39999999999995,True,11,7,28
15,DSR,BS,100.0,True,0,0,28
15,SFA,Node A,99.6,True,2,0,28
15,SFA,Node B,99.39999999999999,True,3,0,28
15,SFA,Node C,98.99999999999999,True,3,2,28
15,SFA,Node D,100.0,True,0,0,28
15,SFA,Node E,100.0,True,0,0,28
15,SFA,Node F,100.0,True,0,0,28
15,SFA,Node G,99.6,True,1,1,28
15,SFA,Node H,99.8,True,1,0,28
15,SFA,Node I,99.8,True,1,0,28
15,SFA,Node J,98.79999999999998,True,3,3,28
15,SFA,Node K,99.6,True,1,1,28
15,SFA,Node L,97.99999999999997,True,5,5,28
15,SFA,Node M,99.39999999999999,True,2,1,28
15,SFA,Node N,98.99999999999999,True,3,2,28
15,SFA,Node O,99.8,True,1,0,28
15,SFA,Node P,99.19999999999999,True,3,1,28
15,SFA,Node Q,99.19999999999999,True,3,1,28
15,SFA,Node R,100.0,True,0,0,28
15,SFA,Node S,100.0,True,0,0,28
15,SFA,Node T,99.19999999999999,True,3,1,28
15,SFA,BS,100.0,True,0,0,28
20,DSR,Node A,96.79999999999995,True,7,9,38
20,DSR,Node B,92.5999999999999,True,19,18,38
20,DSR,Node C,92.7999999999999,True,19,17,38
20,DSR,Node D,86.3999999999998,True,39,29,38
20,DSR,Node E,94.19999999999992,True,16,13,38
20,DSR,Node F,92.5999999999999,True,20,17,38
20,DSR,Node G,92.39999999999989,True,25,13,38
20,DSR,Node H,88.79999999999984,True,35,21,38
20,DSR,Node I,95.59999999999994,True,10,12,38
20,DSR,Node J,90.99999999999987,True,24,21,38
20,DSR,Node K,95.59999999999994,True,13,9,38
20,DSR,Node L,89.99999999999986,True,40,10,38
20,DSR,Node M,89.59999999999985,True,28,24,38
20,DSR,Node N,94.99999999999993,True,13,12,38
20,DSR,Node O,92.7999999999999,True,20,16,38
20,DSR,Node P,87.19999999999982,True,37,27,38
20,DSR,Node Q,88.99999999999984,True,27,28,38
20,DSR,Node R,87.79999999999983,True,37,24,38
20,DSR,Node S,93.79999999999991,True,19,12,38
20,DSR,Node T,90.59999999999987,True,22,25,38
20,DSR,BS,100.0,True,0,0,38
20,SFA,Node A,99.6,True,2,0,38
20,SFA,Node B,99.19999999999999,True,3,1,38
20,SFA,Node C,98.59999999999998,True,4,3,38
20,SFA,Node D,99.6,True,1,1,38
20,SFA,Node E,100.0,True,0,0,38
20,SFA,Node F,100.0,True,0,0,38
20,SFA,Node G,99.39999999999999,True,2,1,38
20,SFA,Node H,98.79999999999998,True,3,3,38
20,SFA,Node I,99.8,True,1,0,38
20,SFA,Node J,98.79999999999998,True,3,3,38
20,SFA,Node K,99.6,True,1,1,38
20,SFA,Node L,97.99999999999997,True,5,5,38
20,SFA,Node M,99.19999999999999,True,3,1,38
20,SFA,Node N,98.59999999999998,True,5,2,38
20,SFA,Node O,99.8,True,1,0,38
20,SFA,Node P,99.19999999999999,True,3,1,38
20,SFA,Node Q,99.19999999999999,True,3,1,38
20,SFA,Node R,100.0,True,0,0,38
20,SFA,Node S,100.0,True,0,0,38
20,SFA,Node T,98.79999999999998,True,5,1,38
20,SFA,BS,100.0,True,0,0,38
25,DSR,Node A,94.39999999999992,True,11,17,48
25,DSR,Node B,89.79999999999986,True,25,26,48
25,DSR,Node C,90.19999999999986,True,22,27,48
25,DSR,Node D,81.39999999999974,True,48,45,48
25,DSR,Node E,91.59999999999988,True,20,22,48
25,DSR,Node F,89.59999999999985,True,26,26,48
25,DSR,Node G,87.39999999999982,True,38,25,48
25,DSR,Node H,84.79999999999978,True,46,30,48
25,DSR,Node I,92.39999999999989,True,15,23,48
25,DSR,Node J,87.19999999999982,True,34,30,48
25,DSR,Node K,92.5999999999999,True,20,17,48
25,DSR,Node L,80.99999999999973,True,70,25,48
25,DSR,Node M,79.99999999999972,True,58,42,48
25,DSR,Node N,92.9999999999999,True,17,18,48
25,DSR,Node O,87.59999999999982,True,32,30,48
25,DSR,Node P,78.7999999999997,True,63,43,48
25,DSR,Node Q,84.59999999999978,True,37,40,48
25,DSR,Node R,85.7999999999998,True,37,34,48
25,DSR,Node S,88.19999999999983,True,35,24,48
25,DSR,Node T,81.79999999999974,True,49,42,48
25,DSR,BS,87.99999999999983,True,60,0,48
25,SFA,Node A,99.39999999999999,True,3,0,48
25,SFA,Node B,99.19999999999999,True,3,1,48
25,SFA,Node C,97.79999999999997,True,6,5,48
25,SFA,Node D,99.6,True,1,1,48
25,SFA,Node E,100.0,True,0,0,48
25,SFA,Node F,100.0,True,0,0,48
25,SFA,Node G,98.99999999999999,True,4,1,48
25,SFA,Node H,98.79999999999998,True,3,3,48
25,SFA,Node I,99.6,True,2,0,48
25,SFA,Node J,98.79999999999998,True,3,3,48
25,SFA,Node K,99.39999999999999,True,2,1,48
25,SFA,Node L,97.99999999999997,True,5,5,48
25,SFA,Node M,98.99999999999999,True,3,2,48
25,SFA,Node N,98.59999999999998,True,5,2,48
25,SFA,Node O,99.39999999999999,True,2,1,48
25,SFA,Node P,99.19999999999999,True,3,1,48
25,SFA,Node Q,98.99999999999999,True,4,1,48
25,SFA,Node R,100.0,True,0,0,48
25,SFA,Node S,99.39999999999999,True,1,2,48
25,SFA,Node T,98.79999999999998,True,5,1,48
25,SFA,BS,100.0,True,0,0,48
30,DSR,Node A,91.59999999999988,True,15,27,58
30,DSR,Node B,82.99999999999976,True,42,43,58
30,DSR,Node C,82.19999999999975,True,38,51,58
30,DSR,Node D,70.99999999999959,True,74,71,58
30,DSR,Node E,86.59999999999981,True,30,37,58
30,DSR,Node F,83.99999999999977,True,39,41,58
30,DSR,Node G,80.99999999999973,True,54,41,58
30,DSR,Node H,76.19999999999966,True,63,56,58
30,DSR,Node I,87.79999999999983,True,23,38,58
30,DSR,Node J,80.99999999999973,True,44,51,58
30,DSR,Node K,88.59999999999984,True,29,28,58
30,DSR,Node L,74.99999999999964,True,82,43,58
30,DSR,Node M,71.9999999999996,True,72,68,58
30,DSR,Node N,87.59999999999982,True,27,35,58
30,DSR,Node O,82.39999999999975,True,41,47,58
30,DSR,Node P,71.5999999999996,True,81,61,58
30,DSR,Node Q,75.19999999999965,True,57,67,58
30,DSR,Node R,73.79999999999963,True,69,62,58
30,DSR,Node S,83.59999999999977,True,42,40,58
30,DSR,Node T,76.39999999999966,True,59,59,58
30,DSR,BS,79.99999999999972,True,100,0,58
30,SFA,Node A,99.19999999999999,True,3,1,58
30,SFA,Node B,99.19999999999999,True,3,1,58
30,SFA,Node C,97.79999999999997,True,6,5,58
30,SFA,Node D,99.6,True,1,1,58
30,SFA,Node E,99.6,True,2,0,58
30,SFA,Node F,100.0,True,0,0,58
30,SFA,Node G,98.99999999999999,True,4,1,58
30,SFA,Node H,98.39999999999998,True,4,4,58
30,SFA,Node I,99.39999999999999,True,3,0,58
30,SFA,Node J,98.79999999999998,True,3,3,58
30,SFA,Node K,99.39999999999999,True,2,1,58
30,SFA,Node L,97.99999999999997,True,5,5,58
30,SFA,Node M,98.79999999999998,True,4,2,58
30,SFA,Node N,98.59999999999998,True,5,2,58
30,SFA,Node O,98.79999999999998,True,3,3,58
30,SFA,Node P,99.19999999999999,True,3,1,58
30,SFA,Node Q,98.79999999999998,True,5,1,58
30,SFA,Node R,100.0,True,0,0,58
30,SFA,Node S,99.19999999999999,True,2,2,58
30,SFA,Node T,98.19999999999997,True,7,2,58
30,SFA,BS,100.0,True,0,0,58
35,DSR,Node A,89.99999999999986,True,18,32,68
35,DSR,Node B,80.59999999999972,True,48,49,68
35,DSR,Node C,80.59999999999972,True,41,56,68
35,DSR,Node D,66.59999999999953,True,86,81,68
35,DSR,Node E,84.59999999999978,True,34,43,68
35,DSR,Node F,81.19999999999973,True,46,48,68
35,DSR,Node G,78.19999999999969,True,59,50,68
35,DSR,Node H,71.7999999999996,True,75,66,68
35,DSR,Node I,85.7999999999998,True,27,44,68
35,DSR,Node J,79.59999999999971,True,47,55,68
35,DSR,Node K,86.3999999999998,True,34,34,68
35,DSR,Node L,68.99999999999956,True,101,54,68
35,DSR,Node M,67.59999999999954,True,84,78,68
35,DSR,Node N,86.1999999999998,True,31,38,68
35,DSR,Node O,79.99999999999972,True,48,52,68
35,DSR,Node P,68.59999999999955,True,87,70,68
35,DSR,Node Q,72.79999999999961,True,64,72,68
35,DSR,Node R,70.99999999999959,True,80,65,68
35,DSR,Node S,81.19999999999973,True,48,46,68
35,DSR,Node T,70.79999999999959,True,75,71,68
35,DSR,BS,79.99999999999972,True,100,0,68
35,SFA,Node A,99.19999999999999,True,3,1,68
35,SFA,Node B,99.19999999999999,True,3,1,68
35,SFA,Node C,97.79999999999997,True,6,5,68
35,SFA,Node D,99.19999999999999,True,3,1,68
35,SFA,Node E,99.6,True,2,0,68
35,SFA,Node F,100.0,True,0,0,68
35,SFA,Node G,97.99999999999997,True,7,3,68
35,SFA,Node H,98.39999999999998,True,4,4,68
35,SFA,Node I,99.39999999999999,True,3,0,68
35,SFA,Node J,98.79999999999998,True,3,3,68
35,SFA,Node K,98.99999999999999,True,3,2,68
35,SFA,Node L,97.99999999999997,True,5,5,68
35,SFA,Node M,98.59999999999998,True,5,2,68
35,SFA,Node N,98.39999999999998,True,6,2,68
35,SFA,Node O,98.39999999999998,True,4,4,68
35,SFA,Node P,99.19999999999999,True,3,1,68
35,SFA,Node Q,98.79999999999998,True,5,1,68
35,SFA,Node R,99.6,True,1,1,68
35,SFA,Node S,98.99999999999999,True,3,2,68
35,SFA,Node T,97.99999999999997,True,7,3,68
35,SFA,BS,100.0,True,0,0,68
40,DSR,Node A,88.19999999999983,True,22,37,78
40,DSR,Node B,78.7999999999997,True,51,55,78
40,DSR,Node C,77.79999999999968,True,47,64,78
40,DSR,Node D,61.99999999999946,True,98,92,78
40,DSR,Node E,80.99999999999973,True,43,52,78
40,DSR,Node F,78.9999999999997,True,51,54,78
40,DSR,Node G,76.19999999999966,True,63,56,78
40,DSR,Node H,67.99999999999955,True,83,77,78
40,DSR,Node I,83.79999999999977,True,31,50,78
40,DSR,Node J,76.99999999999967,True,53,62,78
40,DSR,Node K,84.99999999999979,True,38,37,78
40,DSR,Node L,67.59999999999954,True,103,59,78
40,DSR,Node M,65.39999999999951,True,90,83,78
40,DSR,Node N,83.79999999999977,True,39,42,78
40,DSR,Node O,78.5999999999997,True,50,57,78
40,DSR,Node P,62.19999999999946,True,105,84,78
40,DSR,Node Q,67.99999999999955,True,76,84,78
40,DSR,Node R,68.19999999999955,True,85,74,78
40,DSR,Node S,78.5999999999997,True,54,53,78
40,DSR,Node T,69.19999999999956,True,77,77,78
40,DSR,BS,79.99999999999972,True,100,0,78
40,SFA,Node A,99.19999999999999,True,3,1,78
40,SFA,Node B,99.19999999999999,True,3,1,78
40,SFA,Node C,97.79999999999997,True,6,5,78
40,SFA,Node D,98.99999999999999,True,4,1,78
40,SFA,Node E,99.6,True,2,0,78
40,SFA,Node F,100.0,True,0,0,78
40,SFA,Node G,97.79999999999997,True,8,3,78
40,SFA,Node H,97.79999999999997,True,5,6,78
40,SFA,Node I,99.39999999999999,True,3,0,78
40,SFA,Node J,98.59999999999998,True,4,3,78
40,SFA,Node K,98.99999999999999,True,3,2,78
40,SFA,Node L,97.99999999999997,True,5,5,78
40,SFA,Node M,98.59999999999998,True,5,2,78
40,SFA,Node N,98.39999999999998,True,6,2,78
40,SFA,Node O,98.19999999999997,True,5,4,78
40,SFA,Node P,98.79999999999998,True,4,2,78
40,SFA,Node Q,98.79999999999998,True,5,1,78
40,SFA,Node R,99.19999999999999,True,2,2,78
40,SFA,Node S,98.79999999999998,True,4,2,78
40,SFA,Node T,97.79999999999997,True,8,3,78
40,SFA,BS,100.0,True,0,0,78
45,DSR,Node A,86.59999999999981,True,25,42,88
45,DSR,Node B,74.59999999999964,True,62,65,88
45,DSR,Node C,73.79999999999963,True,56,75,88
45,DSR,Node D,56.59999999999938,True,105,112,88
45,DSR,Node E,77.19999999999968,True,53,61,88
45,DSR,Node F,74.19999999999963,True,63,66,88
45,DSR,Node G,71.3999999999996,True,75,68,88
45,DSR,Node H,60.199999999999434,True,101,98,88
45,DSR,Node I,80.99999999999973,True,36,59,88
45,DSR,Node J,72.39999999999961,True,64,74,88
45,DSR,Node K,82.39999999999975,True,44,44,88
45,DSR,Node L,59.599999999999426,True,124,78,88
45,DSR,Node M,58.99999999999942,True,108,97,88
45,DSR,Node N,81.99999999999974,True,43,47,88
45,DSR,Node O,74.59999999999964,True,59,68,88
45,DSR,Node P,57.399999999999395,True,119,94,88
45,DSR,Node Q,62.999999999999474,True,88,97,88
45,DSR,Node R,63.19999999999948,True,100,84,88
45,DSR,Node S,74.39999999999964,True,62,66,88
45,DSR,Node T,63.19999999999948,True,95,89,88
45,DSR,BS,75.99999999999966,True,120,0,88
45,SFA,Node A,99.19999999999999,True,3,1,88
45,SFA,Node B,99.19999999999999,True,3,1,88
45,SFA,Node C,97.39999999999996,True,7,6,88
45,SFA,Node D,98.99999999999999,True,4,1,88
45,SFA,Node E,98.99999999999999,True,4,1,88
45,SFA,Node F,100.0,True,0,0,88
45,SFA,Node G,97.79999999999997,True,8,3,88
45,SFA,Node H,97.39999999999996,True,6,7,88
45,SFA,Node I,99.39999999999999,True,3,0,88
45,SFA,Node J,98.39999999999998,True,5,3,88
45,SFA,Node K,98.99999999999999,True,3,2,88
45,SFA,Node L,97.39999999999996,True,6,7,88
45,SFA,Node M,98.39999999999998,True,6,2,88
45,SFA,Node N,98.19999999999997,True,7,2,88
45,SFA,Node O,97.99999999999997,True,5,5,88
45,SFA,Node P,98.39999999999998,True,6,2,88
45,SFA,Node Q,98.79999999999998,True,5,1,88
45,SFA,Node R,99.19999999999999,True,2,2,88
45,SFA,Node S,98.59999999999998,True,5,2,88
45,SFA,Node T,97.19999999999996,True,10,4,88
45,SFA,BS,100.0,True,0,0,88
50,DSR,Node A,85.5999999999998,True,27,45,98
50,DSR,Node B,72.79999999999961,True,66,70,98
50,DSR,Node C,72.1999999999996,True,59,80,98
50,DSR,Node D,52.99999999999933,True,118,117,98
50,DSR,Node E,74.59999999999964,True,59,68,98
50,DSR,Node F,71.3999999999996,True,71,72,98
50,DSR,Node G,68.79999999999956,True,83,73,98
50,DSR,Node H,57.399999999999395,True,108,105,98
50,DSR,Node I,79.1999999999997,True,41,63,98
50,DSR,Node J,70.59999999999958,True,68,79,98
50,DSR,Node K,81.39999999999974,True,47,46,98
50,DSR,Node L,54.79999999999936,True,138,88,98
50,DSR,Node M,54.79999999999936,True,120,106,98
50,DSR,Node N,80.19999999999972,True,47,52,98
50,DSR,Node O,72.1999999999996,True,66,73,98
50,DSR,Node P,54.19999999999935,True,132,97,98
50,DSR,Node Q,59.19999999999942,True,97,107,98
50,DSR,Node R,60.999999999999446,True,106,89,98
50,DSR,Node S,72.59999999999961,True,66,71,98
50,DSR,Node T,58.99999999999942,True,111,94,98
50,DSR,BS,75.99999999999966,True,120,0,98
50,SFA,Node A,98.79999999999998,True,5,1,98
50,SFA,Node B,99.19999999999999,True,3,1,98
50,SFA,Node C,97.39999999999996,True,7,6,98
50,SFA,Node D,98.59999999999998,True,5,2,98
50,SFA,Node E,98.59999999999998,True,5,2,98
50,SFA,Node F,100.0,True,0,0,98
50,SFA,Node G,97.79999999999997,True,8,3,98
50,SFA,Node H,97.39999999999996,True,6,7,98
50,SFA,Node I,98.99999999999999,True,4,1,98
50,SFA,Node J,98.39999999999998,True,5,3,98
50,SFA,Node K,98.99999999999999,True,3,2,98
50,SFA,Node L,96.99999999999996,True,8,7,98
50,SFA,Node M,98.39999999999998,True,6,2,98
50,SFA,Node N,98.19999999999997,True,7,2,98
50,SFA,Node O,97.99999999999997,True,5,5,98
50,SFA,Node P,98.39999999999998,True,6,2,98
50,SFA,Node Q,98.59999999999998,True,6,1,98
50,SFA,Node R,98.99999999999999,True,3,2,98
50,SFA,Node S,98.39999999999998,True,5,3,98
50,SFA,Node T,96.99999999999996,True,10,5,98
50,SFA,BS,100.0,True,0,0,98
55,DSR,Node A,83.39999999999976,True,31,52,108
55,DSR,Node B,67.79999999999954,True,78,83,108
55,DSR,Node C,65.99999999999952,True,75,95,108
55,DSR,Node D,46.799999999999244,True,137,129,108
55,DSR,Node E,68.79999999999956,True,73,83,108
55,DSR,Node F,66.59999999999953,True,83,84,108
55,DSR,Node G,63.39999999999948,True,95,88,108
55,DSR,Node H,48.79999999999927,True,129,127,108
55,DSR,Node I,75.79999999999966,True,50,71,108
55,DSR,Node J,64.3999999999995,True,82,96,108
55,DSR,Node K,78.3999999999997,True,55,53,108
55,DSR,Node L,47.79999999999926,True,156,105,108
55,DSR,Node M,46.99999999999925,True,144,121,108
55,DSR,Node N,77.39999999999968,True,53,60,108
55,DSR,Node O,67.99999999999955,True,75,85,108
55,DSR,Node P,45.99999999999923,True,157,113,108
55,DSR,Node Q,49.39999999999928,True,119,134,108
55,DSR,Node R,52.99999999999933,True,129,106,108
55,DSR,Node S,68.19999999999955,True,76,83,108
55,DSR,Node T,49.19999999999928,True,138,116,108
55,DSR,BS,71.9999999999996,True,140,0,108
55,SFA,Node A,98.79999999999998,True,5,1,108
55,SFA,Node B,99.19999999999999,True,3,1,108
55,SFA,Node C,97.19999999999996,True,8,6,108
55,SFA,Node D,98.59999999999998,True,5,2,108
55,SFA,Node E,98.39999999999998,True,5,3,108
55,SFA,Node F,100.0,True,0,0,108
55,SFA,Node G,97.79999999999997,True,8,3,108
55,SFA,Node H,97.39999999999996,True,6,7,108
55,SFA,Node I,98.59999999999998,True,6,1,108
55,SFA,Node J,98.19999999999997,True,6,3,108
55,SFA,Node K,98.99999999999999,True,3,2,108
55,SFA,Node L,96.59999999999995,True,9,8,108
55,SFA,Node M,98.39999999999998,True,6,2,108
55,SFA,Node N,98.19999999999997,True,7,2,108
55,SFA,Node O,97.79999999999997,True,6,5,108
55,SFA,Node P,98.39999999999998,True,6,2,108
55,SFA,Node Q,98.59999999999998,True,6,1,108
55,SFA,Node R,98.99999999999999,True,3,2,108
55,SFA,Node S,97.99999999999997,True,6,4,108
55,SFA,Node T,96.79999999999995,True,11,5,108
55,SFA,BS,100.0,True,0,0,108
60,DSR,Node A,80.99999999999973,True,34,61,118
60,DSR,Node B,64.19999999999949,True,85,94,118
60,DSR,Node C,62.59999999999947,True,81,106,118
60,DSR,Node D,38.99999999999913,True,157,148,118
60,DSR,Node E,63.99999999999949,True,84,96,118
60,DSR,Node F,61.79999999999946,True,94,97,118
60,DSR,Node G,58.39999999999941,True,108,100,118
60,DSR,Node H,42.599999999999184,True,141,146,118
60,DSR,Node I,72.79999999999961,True,54,82,118
60,DSR,Node J,58.39999999999941,True,96,112,118
60,DSR,Node K,75.19999999999965,True,62,62,118
60,DSR,Node L,37.99999999999912,True,181,129,118
60,DSR,Node M,41.199999999999164,True,157,137,118
60,DSR,Node N,73.19999999999962,True,61,73,118
60,DSR,Node O,63.39999999999948,True,84,99,118
60,DSR,Node P,39.199999999999136,True,172,132,118
60,DSR,Node Q,40.19999999999915,True,142,157,118
60,DSR,Node R,45.99999999999923,True,150,120,118
60,DSR,Node S,62.79999999999947,True,88,98,118
60,DSR,Node T,41.59999999999917,True,155,137,118
60,DSR,BS,59.99999999999943,True,200,0,118
60,SFA,Node A,98.79999999999998,True,5,1,118
60,SFA,Node B,98.99999999999999,True,4,1,118
60,SFA,Node C,96.99999999999996,True,9,6,118
60,SFA,Node D,98.59999999999998,True,5,2,118
60,SFA,Node E,98.39999999999998,True,5,3,118
60,SFA,Node F,100.0,True,0,0,118
60,SFA,Node G,97.79999999999997,True,8,3,118
60,SFA,Node H,97.39999999999996,True,6,7,118
60,SFA,Node I,98.59999999999998,True,6,1,118
60,SFA,Node J,97.99999999999997,True,7,3,118
60,SFA,Node K,98.99999999999999,True,3,2,118
60,SFA,Node L,96.59999999999995,True,9,8,118
60,SFA,Node M,97.59999999999997,True,9,3,118
60,SFA,Node N,97.99999999999997,True,8,2,118
60,SFA,Node O,97.39999999999996,True,7,6,118
60,SFA,Node P,97.99999999999997,True,7,3,118
60,SFA,Node Q,97.39999999999996,True,9,4,118
60,SFA,Node R,98.99999999999999,True,3,2,118
60,SFA,Node S,97.99999999999997,True,6,4,118
60,SFA,Node T,96.79999999999995,True,11,5,118
60,SFA,BS,100.0,True,0,0,118
65,DSR,Node A,78.3999999999997,True,38,70,128
65,DSR,Node B,59.99999999999943,True,94,106,128
65,DSR,Node C,58.199999999999406,True,91,118,128
65,DSR,Node D,29.199999999999047,True,188,166,128
65,DSR,Node E,60.59999999999944,True,92,105,128
65,DSR,Node F,56.39999999999938,True,109,109,128
65,DSR,Node G,53.79999999999934,True,120,111,128
65,DSR,Node H,35.99999999999909,True,158,162,128
65,DSR,Node I,68.79999999999956,True,62,94,128
65,DSR,Node J,54.19999999999935,True,105,124,128
65,DSR,Node K,72.59999999999961,True,68,69,128
65,DSR,Node L,32.59999999999904,True,195,142,128
65,DSR,Node M,34.59999999999907,True,176,151,128
65,DSR,Node N,68.59999999999955,True,73,84,128
65,DSR,Node O,58.799999999999415,True,96,110,128
65,DSR,Node P,26.999999999999055,True,211,154,128
65,DSR,Node Q,30.99999999999904,True,168,177,128
65,DSR,Node R,41.999999999999176,True,160,130,128
